,Day,High Temp (°F),Low Temp (°F),Precipitation,Brooklyn Bridge
12,Thursday,68,59,0.0,3253
13,Friday,80.1,59,0.0,3401
14,Saturday,84,68,0.0,3066
15,Sunday,90,73,0.0,2465
16,Monday,91.9,77,0.0,2854
17,Tuesday,93.9,78.1,0.0,2882
18,Wednesday,84,69.1,0.29,2596
19,Thursday,75,66,0.0,3510
20,Friday,68,66,0.0,2054
21,Saturday,73,66.9,1.39,1399
22,Sunday,84,72,0.0,2199
23,Monday,87.1,70,1.35,1648
24,Tuesday,82,72,0.03,3407
25,Wednesday,82,72,0.0,3304
26,Thursday,82,70,0.0,3368
27,Friday,82.9,75.9,0.04,2283
28,Saturday,82.9,71.1,1.29,2307
29,Sunday,82,69.1,0.0,2625
30,Monday,78.1,66,0.0,3386
31,Tuesday,75.9,61,0.18,3182
32,Wednesday,78.1,62.1,0.0,3766
33,Thursday,81,68,0.0,3356
34,Friday,88,73.9,0.0,2687
5,Saturday,84.9,72,0.23,1848
6,Sunday,87.1,73,0.0,2467
7,Monday,87.1,71.1,0.45,2714
8,Tuesday,82.9,70,0.0,2296
9,Wednesday,84.9,71.1,0.0,3170
10,Thursday,75,71.1,0.0,3065
11,Friday,79,68,1.78,1513
12,Saturday,82.9,70,0.0,2718
13,Sunday,81,69.1,0.0,3048
14,Monday,82.9,71.1,0.0,3506
15,Tuesday,84,75,0.0,2929
16,Wednesday,87.1,77,0.0,2860
17,Thursday,89.1,77,0.0,2563
18,Friday,69.1,64.9,0.35,907
19,Saturday,82.9,68,0.0,2853
20,Sunday,84.9,70,0.0,2917
21,Monday,84.9,73.9,0.0,3264
22,Tuesday,87.1,75.9,0.0,3507
23,Wednesday,91,77,0.0,3114
24,Thursday,93,78.1,0.01,2840
25,Friday,91,77,0.0,2751
26,Saturday,91,78.1,0.57,2301
27,Sunday,78.1,73,0.06,2321
28,Monday,69.1,63,0.74,1576
29,Tuesday,71.1,64,0.0,3191
30,Wednesday,75.9,66,0.0,3821
31,Thursday,77,66.9,0.0,3287
32,Friday,84.9,73,0.0,3123
33,Saturday,75.9,68,0.0,2074
34,Sunday,81,64.9,0.0,3331
35,Monday,88,66.9,0.0,3560
